filepath,filesize,checksum,dataset
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-30-59(30).JPG,240849.0,9d94bae36393dbec52a60adba38b3a0a48426dd36c18e445bc2a690e109eae61,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-31-00(1).JPG,227540.0,fc02db76fbb4dc868111c0912ed617550a4eca8e587cd736de603ed0176a64fa,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-31-01(2).JPG,229090.0,bf4a36b2682f8fb4b6d46abcd9cc12a27c737afa05f267f5c4569069ddf829d6,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-31-01(3).JPG,229001.0,015495d48f29b0ca72e49d6d412f7a51f184b907e74292613acf4389fbdbf3f9,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-31-02(4).JPG,230449.0,91006af72062b64e9516bf471ef42911174b8d98858706defeb4419550025d37,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-31-02(5).JPG,230050.0,205bf4a7d850d8666d636ee0a28b600bbfc0f9ce2bf9a9dbd055ff526ec1e0bb,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-04-23__23-31-03(6).JPG,228311.0,f7c9cda888dffcbc233760892608f14dfda158fb59d144a31a2423b9cbc3c8ba,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-09__19-35-37(1).JPG,2640698.0,5ccb3b2098b88b7240cd1e95cb390f0677800f28e40e9bf5013b7b80e90e413d,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-09__19-35-38(2).JPG,2637806.0,391eb8bb93fe4a8959c83941f4926e894994ff7716306d8b771209af129eabdd,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-09__19-35-38(3).JPG,2636160.0,d7a7288a92e512fb4bf7a1ede8ae661fc6bb7bfaef54ec9e29d35d9fe67235a3,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-09__19-35-39(4).JPG,2626595.0,bc5a6c232b7e0501150e6d5f8a0cef499d6c2506ca3fbac189225a17adbf204d,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-09__19-35-39(5).JPG,2628497.0,234017f9e04e147dffb92547091a97670bcb5ccb5c280727ffcc510b8260d124,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-09__19-36-01(1).JPG,2629801.0,c81194fe4763fec1c808954addbcae3f6f8559b462768d45e419b3ce69818415,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-09__19-36-02(2).JPG,2633352.0,5acbc1bf566054bfefffb942adeeb5f50e89f8890f1b789696108895fdd8aa66,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-09__19-36-02(3).JPG,2638600.0,2d23569a34b7fc02dce70fa346640ee4e090610700094483616196d373331f72,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-09__19-36-02(4).JPG,2643922.0,033908d4bf967cc42cff028997cee87689791a837f22cb2f3ad0cb2f33376f8e,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-09__19-36-03(5).JPG,2646056.0,e8a3b6e6d276fc5da5e2ed673f4ac19b6079ea7d7ebd0b2a6e090bc9cf6b1a55,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-10__08-22-23(1).JPG,4507805.0,c07fb2e2b61dacfdad0f9f3345c1138d6e28372a92fccd8a64afb40436b5b58a,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-10__08-22-23(2).JPG,4508630.0,193771bde79d9cbe765a7062a2e5052d4edc6c106f912ee0e24c264ee36b4977,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-10__08-22-24(3).JPG,4508928.0,f5ab6aa523c59553be643b58cd07a274e938b866a267445041f5dcbda9b5940d,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-10__08-22-24(4).JPG,4508794.0,9feda3ca54d98d8595c31415f00deeb279c49965b685ffebe8a06bbd9716c81a,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-10__08-22-24(5).JPG,4510414.0,3d831f17e1dbc9eb5eec4061679cf5a6aa5a14dc55869b546579eeaba89ed9e1,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-17__20-03-45(1).JPG,4608531.0,97cbd2f358984e6892225d2701e0eaf0002b02731f129353b9c0f95a1ec14b62,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-17__20-03-45(2).JPG,4592020.0,2dc534176eef1ae8ee37628491c6c985a497948b9b19acaf659d20e922831eac,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-17__20-03-46(3).JPG,4599811.0,7706ab4d4ec904a7b62bb6ed2dd48a362f563b79abf1b61b43984fad78806359,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-17__20-03-46(4).JPG,4596842.0,5b64868b0957454fd9b2b93ef2eeeffb1af881098dd85521848ef43348921cfa,wolf
